dt,event_time,type,context,id,update_compartments,update_sums,print,total
0.00647241, 12, 13, 14, 15, 145, 178, 182, 183
0.026551, 1, 2, 3, 4, 132, 161, 164, 164
0.00729605, 2, 3, 3, 4, 133, 162, 164, 165
0.0168976, 1, 2, 3, 4, 132, 172, 175, 176
0.0021576, 3, 4, 5, 6, 137, 177, 181, 182
0.0116796, 2, 3, 4, 5, 156, 193, 196, 197
0.00455789, 2, 3, 4, 5, 138, 167, 170, 171
0.00739063, 1, 2, 3, 4, 131, 161, 163, 164
0.0196385, 1, 2, 3, 4, 151, 180, 183, 184
0.00308485, 1, 2, 3, 4, 132, 162, 164, 165
0.0105308, 1, 2, 3, 4, 139, 169, 171, 172
0.0102546, 1, 2, 3, 4, 134, 167, 169, 170
0.00308013, 2, 3, 3, 4, 133, 171, 174, 176
0.010489, 1, 2, 3, 4, 135, 178, 181, 183
0.0064307, 1, 2, 3, 4, 138, 178, 181, 182
0.0190612, 2, 2, 3, 4, 164, 203, 206, 207
0.00714108, 1, 2, 3, 4, 200, 240, 243, 244
0.0101563, 1, 2, 3, 4, 153, 188, 192, 193
0.00643427, 3, 4, 5, 6, 144, 183, 186, 188
0.0062364, 1, 2, 3, 4, 138, 177, 180, 181
0.0118228, 1, 2, 3, 4, 139, 177, 180, 181
0.00164136, 1, 2, 3, 4, 136, 166, 168, 169
0.0215328, 1, 2, 3, 4, 132, 162, 164, 165
0.0016293, 1, 2, 3, 4, 132, 170, 173, 174
0.00350318, 1, 2, 3, 5, 150, 186, 189, 190
0.00357795, 1, 2, 3, 4, 137, 173, 176, 177
0.00813014, 1, 2, 3, 4, 135, 165, 168, 168
0.00965191, 2, 2, 3, 4, 132, 165, 167, 168
0.0192148, 1, 2, 3, 4, 151, 184, 186, 187
0.01136, 1, 2, 3, 4, 134, 167, 169, 170
0.00425948, 2, 3, 3, 4, 134, 166, 168, 169
0.00595193, 1, 2, 5, 6, 138, 176, 179, 180
0.04654, 1, 2, 3, 4, 136, 175, 178, 179
0.00126147, 1, 2, 3, 4, 136, 174, 177, 178
0.00806031, 1, 2, 3, 4, 136, 172, 174, 176
0.0221475, 1, 2, 3, 4, 136, 173, 176, 177
0.00121007, 1, 2, 3, 4, 136, 173, 176, 176
0.000592116, 2, 2, 3, 4, 137, 177, 179, 180
0.00343363, 1, 2, 3, 4, 137, 167, 169, 170
0.0196406, 1, 2, 3, 4, 133, 163, 165, 166
0.022058, 2, 3, 3, 4, 134, 163, 165, 166
0.0186379, 1, 2, 3, 4, 132, 171, 174, 174
0.000849093, 1, 2, 3, 4, 137, 176, 178, 180
0.00859467, 1, 2, 3, 4, 141, 179, 183, 184
0.0128326, 3, 3, 4, 5, 142, 184, 187, 188
0.0313484, 1, 2, 3, 4, 139, 174, 177, 178
0.00942, 1, 2, 3, 4, 138, 174, 181, 182
0.0154366, 1, 2, 3, 4, 143, 181, 183, 184
0.00109237, 1, 3, 4, 5, 140, 193, 196, 197
0.00241288, 1, 2, 3, 4, 141, 180, 183, 184
0.000961953, 1, 2, 3, 4, 138, 178, 180, 181
0.0019475, 1, 2, 3, 4, 143, 183, 185, 186
0.0204953, 1, 2, 3, 4, 148, 192, 199, 200
0.0045713, 2, 3, 4, 7, 872, 996, 1009, 1011
0.0239603, 4, 6, 7, 11, 645, 702, 729, 732
0.00456577, 5, 7, 8, 13, 681, 793, 815, 818
0.00167676, 6, 7, 10, 14, 918, 1080, 1115, 1117
0.00269137, 9, 11, 14, 19, 1048, 1151, 1171, 1172
0.00507855, 17, 20, 23, 36, 815, 981, 1003, 1005
0.0126078, 7, 9, 11, 16, 618, 735, 758, 759
0.00294535, 5, 7, 10, 12, 464, 610, 624, 626
0.00261421, 5, 6, 8, 10, 395, 431, 435, 435
0.00975783, 2, 3, 3, 4, 125, 156, 159, 159
0.00111233, 1, 2, 3, 4, 124, 155, 159, 160
0.00431081, 3, 3, 4, 5, 122, 156, 158, 159
0.0182038, 1, 2, 2, 3, 125, 155, 157, 158
0.00422913, 1, 2, 3, 3, 132, 170, 172, 173
0.0073018, 2, 2, 3, 4, 125, 157, 159, 160
0.0348743, 1, 2, 3, 4, 125, 158, 161, 162
0.00126668, 3, 4, 5, 5, 125, 162, 164, 165
0.0102479, 1, 2, 3, 4, 122, 154, 157, 157
0.0152747, 1, 2, 2, 3, 130, 162, 165, 166
0.0142596, 1, 2, 2, 3, 125, 155, 157, 158
0.00460547, 3, 3, 4, 5, 124, 164, 168, 168
0.00351017, 1, 2, 3, 4, 127, 159, 161, 162
0.014807, 1, 2, 2, 3, 127, 160, 162, 164
0.00845989, 1, 2, 2, 3, 129, 161, 163, 164
0.00186745, 1, 2, 3, 4, 139, 173, 177, 178
0.00171673, 3, 4, 5, 6, 131, 167, 170, 170
0.00659095, 1, 2, 3, 3, 124, 155, 157, 158
0.00254964, 1, 2, 2, 3, 133, 167, 175, 176
0.0147597, 2, 2, 3, 4, 145, 177, 179, 180
0.0124278, 1, 2, 2, 3, 123, 153, 155, 156
0.00234618, 1, 2, 3, 3, 127, 158, 160, 161
0.00151392, 1, 2, 3, 4, 121, 156, 159, 159
0.00516712, 1, 2, 3, 4, 125, 158, 161, 161
0.00658998, 1, 2, 3, 4, 130, 168, 171, 172
0.0113796, 1, 2, 3, 4, 129, 159, 161, 162
0.00129925, 1, 2, 2, 3, 124, 159, 162, 163
0.014628, 1, 2, 3, 4, 126, 162, 165, 165
0.00038425, 1, 2, 3, 4, 132, 161, 164, 165
0.00226563, 3, 6, 7, 8, 132, 166, 169, 170
0.000975619, 1, 2, 3, 4, 128, 160, 163, 164
0.00117453, 1, 2, 3, 4, 134, 169, 172, 173
0.00104295, 1, 2, 3, 4, 128, 157, 159, 160
0.000787128, 1, 2, 3, 4, 124, 154, 156, 157
0.00323255, 1, 2, 3, 3, 119, 149, 151, 151
0.00192356, 1, 2, 3, 4, 116, 144, 146, 146
0.00940349, 1, 2, 3, 3, 119, 147, 149, 149
0.000791923, 1, 2, 3, 3, 118, 142, 144, 145
0.00555656, 4, 6, 7, 8, 169, 199, 201, 202
0.0034983, 2, 3, 5, 6, 121, 152, 155, 155
0.00198945, 1, 2, 3, 3, 128, 156, 158, 159
0.00121585, 1, 2, 3, 4, 158, 210, 215, 216
0.00285848, 2, 3, 4, 6, 642, 701, 725, 726
0.00193464, 4, 4, 5, 8, 890, 949, 972, 973
0.00124321, 5, 7, 8, 9, 502, 627, 642, 644
0.00129069, 5, 8, 9, 11, 513, 619, 630, 633
0.000620081, 5, 7, 8, 11, 859, 998, 1011, 1013
0.00390076, 7, 9, 13, 18, 894, 1003, 1038, 1040
0.00531418, 10, 15, 19, 22, 871, 1010, 1040, 1041
0.00103595, 5, 7, 10, 14, 661, 799, 814, 815
0.00454325, 10, 21, 23, 26, 782, 828, 842, 843
0.000495654, 2, 3, 4, 6, 166, 211, 214, 215
0.00364331, 1, 2, 3, 4, 134, 162, 164, 165
0.00650748, 2, 3, 4, 5, 120, 151, 153, 154
0.00132618, 2, 3, 4, 5, 122, 154, 156, 157
0.000696846, 1, 2, 3, 4, 123, 154, 157, 158
0.0265628, 2, 2, 3, 4, 125, 157, 161, 162
0.00198646, 2, 2, 3, 4, 121, 152, 154, 155
0.000192389, 2, 2, 3, 4, 148, 190, 193, 193
0.00745734, 1, 2, 3, 4, 156, 187, 190, 191
0.00368547, 1, 2, 3, 4, 125, 157, 160, 160
0.00448554, 1, 2, 3, 3, 126, 158, 161, 161
0.00192657, 2, 3, 3, 4, 122, 150, 153, 153
0.00376569, 2, 2, 3, 4, 123, 153, 155, 156
0.00291873, 2, 2, 3, 4, 118, 148, 151, 151
0.00172829, 1, 2, 3, 3, 125, 152, 154, 155
0.00712022, 5, 6, 7, 7, 121, 150, 152, 153
0.00500309, 2, 3, 3, 4, 122, 149, 151, 152
0.000600655, 1, 2, 3, 4, 122, 150, 152, 153
0.00810556, 2, 2, 3, 4, 128, 156, 158, 158
0.00178509, 1, 2, 3, 3, 119, 147, 149, 150
0.00405027, 2, 2, 3, 4, 119, 146, 148, 149
0.0103748, 1, 2, 3, 4, 153, 186, 189, 191
0.00552691, 1, 2, 3, 3, 126, 158, 160, 162
0.00138486, 1, 2, 3, 4, 123, 156, 158, 159
0.0184713, 1, 2, 2, 3, 122, 153, 155, 156
0.0151938, 2, 2, 3, 4, 140, 168, 170, 171
0.00117003, 2, 2, 3, 5, 142, 171, 173, 173
0.00416356, 1, 2, 3, 4, 134, 164, 167, 168
0.00262737, 1, 2, 3, 4, 121, 152, 155, 156
0.0119969, 1, 2, 3, 3, 120, 150, 152, 153
0.00473213, 1, 2, 2, 3, 123, 154, 157, 158
0.000489316, 1, 2, 3, 4, 144, 172, 174, 175
0.000352955, 1, 2, 2, 3, 117, 146, 148, 148
0.00320481, 1, 2, 3, 3, 118, 146, 148, 149
0.0021655, 1, 1, 2, 3, 117, 146, 148, 150
0.00149699, 1, 2, 3, 3, 116, 148, 150, 151
0.00271673, 1, 2, 3, 4, 118, 146, 149, 149
0.00210531, 1, 2, 2, 3, 120, 149, 152, 152
0.00465203, 1, 2, 3, 4, 116, 146, 149, 150
0.00103544, 1, 2, 3, 3, 117, 146, 148, 149
0.00443863, 1, 2, 2, 3, 114, 142, 144, 145
0.020377, 1, 1, 2, 3, 115, 144, 147, 148
0.00886829, 1, 2, 3, 3, 109, 155, 157, 158
0.00609901, 1, 2, 2, 3, 139, 169, 171, 172
0.0070617, 1, 2, 3, 4, 116, 146, 148, 149
0.00283144, 2, 2, 3, 4, 117, 147, 149, 150
0.00441054, 1, 2, 3, 4, 116, 146, 148, 149
0.00658968, 1, 2, 2, 3, 130, 163, 166, 167
0.00470036, 2, 3, 4, 4, 137, 176, 179, 180
0.0032306, 2, 2, 3, 4, 137, 169, 171, 172
0.00226678, 3, 4, 5, 8, 137, 175, 178, 179
0.00682148, 2, 3, 3, 4, 136, 169, 171, 172
0.00116063, 1, 2, 2, 3, 134, 174, 177, 177
0.00218118, 1, 2, 2, 3, 132, 164, 167, 168
0.00955558, 2, 2, 3, 4, 162, 193, 195, 196
0.00119857, 1, 2, 2, 3, 126, 157, 159, 160
0.00139586, 1, 1, 2, 3, 130, 161, 164, 164
0.00704891, 1, 2, 3, 4, 145, 188, 191, 192
0.00682984, 1, 2, 3, 4, 137, 169, 172, 173
0.0111769, 1, 2, 3, 4, 142, 181, 184, 184
0.00205962, 1, 2, 3, 4, 133, 164, 167, 168
0.00370739, 1, 2, 2, 3, 132, 170, 172, 173
0.000614424, 2, 2, 3, 4, 135, 165, 168, 168
0.0020242, 1, 2, 2, 3, 118, 148, 150, 151
0.00310811, 1, 2, 3, 4, 147, 188, 190, 191
0.000678834, 1, 2, 2, 3, 122, 154, 156, 157
0.000234897, 1, 1, 2, 3, 116, 146, 148, 149
0.00111306, 1, 2, 3, 4, 117, 147, 150, 150
0.0011197, 1, 2, 3, 4, 120, 162, 164, 165
0.00237415, 1, 2, 3, 3, 121, 163, 166, 166
0.00297511, 1, 2, 2, 3, 115, 145, 148, 149
0.00117878, 1, 2, 2, 3, 115, 146, 148, 149
0.00656843, 2, 2, 3, 4, 116, 148, 151, 151
0.00149995, 1, 1, 2, 3, 115, 146, 148, 149
0.00029698, 1, 2, 2, 3, 120, 152, 154, 155
0.00576251, 1, 2, 3, 4, 123, 166, 168, 169
0.00120017, 1, 2, 3, 3, 120, 155, 158, 158
0.00071481, 1, 2, 3, 4, 127, 156, 159, 159
0.000352502, 1, 2, 2, 3, 138, 177, 179, 180
0.000499691, 1, 2, 3, 4, 119, 160, 162, 163
0.00598064, 1, 2, 2, 3, 115, 145, 147, 149
0.00219609, 1, 2, 3, 4, 116, 146, 148, 148
0.00664303, 1, 2, 3, 3, 121, 163, 165, 166
0.0125824, 1, 2, 2, 3, 118, 150, 152, 153
0.00558416, 2, 2, 3, 4, 115, 143, 144, 145
0.0105195, 1, 2, 2, 3, 112, 138, 140, 141
0.0129064, 1, 1, 2, 3, 126, 153, 154, 155
0.00705258, 0, 1, 2, 3, 109, 156, 158, 159
0.00116146, 1, 2, 3, 4, 115, 141, 142, 143
0.00060331, 1, 1, 2, 3, 108, 133, 135, 136
0.00151065, 1, 2, 3, 3, 108, 134, 136, 136
0.00103255, 1, 2, 2, 3, 113, 147, 149, 150
0.00491976, 1, 1, 2, 3, 154, 190, 192, 193
0.0165258, 2, 3, 4, 4, 162, 199, 201, 202
0.0140406, 2, 3, 3, 4, 155, 187, 189, 190
0.0117103, 1, 2, 3, 4, 159, 196, 198, 199
0.00211351, 2, 2, 3, 4, 116, 147, 149, 150
0.00118568, 1, 2, 3, 3, 113, 143, 146, 146
0.00160043, 1, 1, 2, 3, 111, 140, 142, 143
0.000918596, 1, 1, 2, 3, 111, 139, 142, 143
0.0264445, 1, 2, 3, 4, 111, 140, 142, 143
0.000164772, 1, 1, 2, 3, 112, 141, 143, 144
0.00240749, 1, 2, 3, 4, 105, 147, 149, 150
0.00325826, 1, 2, 3, 4, 105, 147, 149, 150
0.00161271, 1, 2, 3, 4, 106, 149, 151, 153
0.00492087, 1, 2, 2, 3, 104, 147, 149, 150
0.000397201, 1, 1, 2, 3, 119, 162, 163, 164
0.00343329, 0, 1, 2, 3, 119, 160, 163, 163
0.00439005, 1, 2, 3, 4, 105, 149, 151, 151
0.0230201, 1, 2, 2, 3, 105, 146, 148, 149
0.019057, 1, 2, 3, 3, 124, 171, 173, 174
0.0159913, 1, 2, 3, 4, 122, 168, 170, 171
0.0182038, 0, 1, 2, 3, 120, 166, 168, 169
0.0215034, 1, 1, 2, 3, 120, 183, 184, 185
